len_mid,content,wording,syntactic_complexity,semantic_complexity
25.0,-0.9118155888543579,-0.7864880454229334,24.105174462162687,0.7682785355533969
75.0,0.20693109416815086,0.3776671000252387,23.062882963315836,0.6679076066352405
125.0,1.3079602130050858,1.2588855005208328,23.00033729849253,0.5865816248049398
175.0,1.7876900753814313,1.3167092532570788,22.8615397960488,0.5312895328373255
225.0,2.223001155849719,1.5035048905815047,22.383242456665542,0.4983858113615032
275.0,2.4260591977132275,1.581325634646278,26.015588185769904,0.4842842755648498
325.0,2.7249853025629194,1.7831302822345099,25.797883736350673,0.46071102872529407
375.0,1.9777208555928827,1.5939511555982107,26.06480598953877,0.45848479367354694
425.0,3.0597117354801386,2.5188355032571548,20.692451233068738,0.42394068344057184
475.0,2.118285724581384,1.1895705771588962,49.507038769910906,0.3838540308114142
525.0,3.16063636365988,3.34666516544773,13.351961678832115,0.34647302904564314
575.0,2.946043736380315,1.266632565269643,29.528806168187945,0.38916304930228224
625.0,1.95973486837533,2.34761934470339,11.227885728589754,0.4331983805668016
675.0,3.36999122260667,3.89794064266612,27.946820143884896,0.40536277602523657
725.0,3.02195965460507,0.708059515772593,14.990207765667574,0.38425925925925924
